respondent_id,hub_id,hub_name,age_group,household_type,ethnicity,user_archetype,visit_frequency_monthly,activity_types_count,recruited_by_volunteer,resident_in_catchment,awareness_of_programmes,perceived_accessibility,perceived_safety,q1_belong_here,q2_people_care,q3_place_attachment,q4_return_intent,q5_meet_diff_groups,q6_cross_group_activities,q7_diverse_interactions,q8_mutual_aid_across_groups,q9_understand_governance,q10_can_raise_concerns,q11_trust_hub_institutions,q12_voice_matters,bonding_score,bridging_score,linking_score,overall_sc_score
R001,H1,Our Tampines Hub,35-44,Senior household,Malay,Service user,3,4,No,Yes,3.82,4.56,4.84,4,4,4,5,4,4,5,4,3,2,3,3,4.25,4.25,2.75,3.75
R002,H1,Our Tampines Hub,45-54,Single,Chinese,Senior user,7,3,No,Yes,4.86,3.33,5.0,5,4,4,4,3,3,4,4,5,4,5,4,4.25,3.5,4.5,4.08
R003,H1,Our Tampines Hub,18-24,Senior household,Malay,Routine user,4,4,No,Yes,2.99,4.95,5.0,5,5,4,5,5,5,5,5,5,3,3,3,4.75,5.0,3.5,4.42
R004,H1,Our Tampines Hub,18-24,Single,Malay,Event user,7,2,No,Yes,4.6,4.99,5.0,5,5,5,5,5,5,4,5,4,4,4,4,5.0,4.75,4.0,4.58
R005,H1,Our Tampines Hub,25-34,Family with children,Malay,Event user,7,3,No,No,4.58,4.0,4.76,5,4,4,5,4,5,5,5,4,4,4,5,4.5,4.75,4.25,4.5
R006,H1,Our Tampines Hub,25-34,Single,Chinese,Service user,3,3,No,Yes,4.7,4.07,4.89,5,5,5,5,4,4,3,5,5,4,4,5,5.0,4.0,4.5,4.5
R007,H1,Our Tampines Hub,18-24,Single,Indian,Service user,2,3,No,No,5.0,4.51,4.33,5,4,5,5,4,5,4,3,4,4,4,4,4.75,4.0,4.0,4.25
R008,H1,Our Tampines Hub,65+,Family with children,Malay,Service user,6,3,No,Yes,4.1,4.7,4.85,5,5,5,5,5,5,5,5,5,4,4,5,5.0,5.0,4.5,4.83
R009,H1,Our Tampines Hub,45-54,Couple,Chinese,Family user,13,3,No,Yes,2.77,4.43,4.88,5,5,5,5,5,5,5,5,4,5,5,4,5.0,5.0,4.5,4.83
R010,H1,Our Tampines Hub,25-34,Family with children,Chinese,Routine user,7,3,No,Yes,4.5,5.0,4.24,5,5,5,5,4,4,3,4,4,4,3,3,5.0,3.75,3.5,4.08
R011,H1,Our Tampines Hub,45-54,Family with children,Indian,Service user,4,3,Yes,Yes,5.0,3.32,5.0,4,4,4,4,4,5,4,4,5,5,5,5,4.0,4.25,5.0,4.42
R012,H1,Our Tampines Hub,25-34,Single,Malay,Family user,11,4,No,Yes,4.75,3.96,5.0,5,5,5,5,5,5,5,5,5,4,5,5,5.0,5.0,4.75,4.92
R013,H1,Our Tampines Hub,35-44,Senior household,Chinese,Routine user,5,3,No,Yes,3.82,4.34,4.15,4,5,5,4,4,4,4,4,4,3,4,5,4.5,4.0,4.0,4.17
R014,H1,Our Tampines Hub,65+,Couple,Chinese,Family user,5,4,No,Yes,4.28,3.64,5.0,5,5,5,5,5,5,5,5,4,4,4,5,5.0,5.0,4.25,4.75
R015,H1,Our Tampines Hub,65+,Senior household,Malay,Service user,13,1,No,Yes,2.83,5.0,5.0,5,5,5,5,3,4,4,4,5,4,4,5,5.0,3.75,4.5,4.42
R016,H1,Our Tampines Hub,18-24,Family with children,Chinese,Family user,8,4,No,Yes,3.85,3.94,3.96,5,5,5,5,5,5,5,5,4,3,4,4,5.0,5.0,3.75,4.58
R017,H1,Our Tampines Hub,25-34,Family with children,Chinese,Routine user,4,3,No,Yes,4.15,4.85,4.48,5,5,5,5,5,4,4,4,3,3,4,4,5.0,4.25,3.5,4.25
R018,H1,Our Tampines Hub,25-34,Couple,Chinese,Event user,6,3,Yes,Yes,3.42,4.24,5.0,4,4,3,4,4,4,4,5,4,4,3,4,3.75,4.25,3.75,3.92
R019,H1,Our Tampines Hub,35-44,Family with children,Malay,Event user,6,5,No,Yes,3.68,3.84,4.75,5,5,5,5,4,5,5,4,4,4,3,4,5.0,4.5,3.75,4.42
R020,H1,Our Tampines Hub,55-64,Couple,Chinese,Event user,6,1,No,Yes,4.08,3.9,4.75,5,5,4,5,5,5,5,5,4,5,4,5,4.75,5.0,4.5,4.75
R021,H1,Our Tampines Hub,25-34,Single,Indian,Service user,9,4,No,Yes,4.01,4.76,5.0,5,5,5,5,5,5,5,4,4,5,4,4,5.0,4.75,4.25,4.67
R022,H1,Our Tampines Hub,55-64,Single,Chinese,Family user,7,4,No,Yes,4.97,4.86,5.0,5,5,5,5,3,3,4,5,4,4,5,5,5.0,3.75,4.5,4.42
R023,H1,Our Tampines Hub,65+,Multi-generational,Chinese,Service user,10,5,Yes,Yes,2.85,5.0,5.0,5,5,5,5,5,5,5,4,4,4,3,4,5.0,4.75,3.75,4.5
R024,H1,Our Tampines Hub,65+,Couple,Chinese,Service user,3,5,No,Yes,5.0,4.22,5.0,5,5,5,5,4,5,5,5,3,4,5,3,5.0,4.75,3.75,4.5
R025,H1,Our Tampines Hub,25-34,Couple,Indian,Senior user,5,1,No,Yes,4.78,3.39,4.8,5,5,5,5,3,4,3,4,5,4,5,4,5.0,3.5,4.5,4.33
R026,H1,Our Tampines Hub,35-44,Senior household,Indian,Event user,7,2,No,Yes,3.76,4.46,5.0,5,5,5,5,4,5,4,4,4,4,4,4,5.0,4.25,4.0,4.42
R027,H1,Our Tampines Hub,18-24,Senior household,Chinese,Service user,6,1,Yes,Yes,5.0,5.0,4.46,5,4,5,5,4,4,3,4,5,4,5,4,4.75,3.75,4.5,4.33
R028,H1,Our Tampines Hub,35-44,Family with children,Other,Family user,3,3,No,Yes,2.85,4.87,4.92,5,5,4,5,5,5,4,5,3,4,3,3,4.75,4.75,3.25,4.25
R029,H1,Our Tampines Hub,45-54,Senior household,Malay,Family user,9,3,Yes,Yes,4.85,4.28,5.0,5,5,5,5,5,5,5,5,5,4,4,5,5.0,5.0,4.5,4.83
R030,H1,Our Tampines Hub,45-54,Senior household,Chinese,Routine user,3,4,No,Yes,5.0,3.7,4.81,3,3,3,4,5,4,4,4,3,4,4,4,3.25,4.25,3.75,3.75
R031,H1,Our Tampines Hub,65+,Multi-generational,Chinese,Event user,11,2,No,Yes,4.64,3.75,4.82,5,5,5,5,4,4,5,5,4,4,4,4,5.0,4.5,4.0,4.5
R032,H1,Our Tampines Hub,25-34,Senior household,Other,Family user,7,3,No,No,4.76,3.44,2.73,5,4,4,4,5,5,5,5,5,5,5,5,4.25,5.0,5.0,4.75
R033,H1,Our Tampines Hub,45-54,Family with children,Malay,Routine user,5,2,No,No,4.53,4.46,5.0,5,5,5,4,5,5,5,4,4,3,4,3,4.75,4.75,3.5,4.33
R034,H1,Our Tampines Hub,65+,Single,Other,Family user,4,3,No,Yes,3.75,4.45,5.0,4,4,5,5,4,4,4,4,4,5,5,5,4.5,4.0,4.75,4.42
R035,H1,Our Tampines Hub,35-44,Family with children,Chinese,Routine user,6,3,No,Yes,4.6,4.16,5.0,5,5,5,5,5,5,4,5,5,4,4,4,5.0,4.75,4.25,4.67
R036,H1,Our Tampines Hub,35-44,Single,Chinese,Routine user,4,1,No,Yes,2.93,4.71,5.0,5,4,5,5,3,4,4,3,4,3,3,4,4.75,3.5,3.5,3.92
R037,H1,Our Tampines Hub,45-54,Family with children,Indian,Routine user,5,5,No,Yes,4.76,4.46,5.0,5,5,5,5,5,5,5,5,4,4,4,4,5.0,5.0,4.0,4.67
R038,H1,Our Tampines Hub,45-54,Family with children,Chinese,Family user,7,1,No,Yes,4.52,4.63,4.83,5,5,5,5,4,4,4,4,4,3,4,4,5.0,4.0,3.75,4.25
R039,H1,Our Tampines Hub,55-64,Single,Malay,Senior user,7,4,No,Yes,5.0,2.96,4.91,4,5,5,5,4,3,4,4,4,5,5,5,4.75,3.75,4.75,4.42
